Protein	Description_From_FASTA	T11	T12	T13	T14	T21	T22	T23	T24	T31	T32	T33	T34	T41	T42	T43	T44	T51	T52	T53	T54
tr|A0A096YH44|A0A096YH44_BURTA	UvrABC system protein A OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=uvrA PE=3 SV=1	1.451523481	1.609448358	1.390328541	1.292706999	1.133338965	1.74963027	1.375492754	1.213385512	0.894063551	0.947037909	0.67182512	0.8758432	0.914694133	0.742540699	0.652418876	0.914998618	0.747593338	0.874088085	1.029359383	0.856819609
tr|A0A096YH58|A0A096YH58_BURTA	YceI-like domain protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_1070 PE=3 SV=1	0.845267985	0.806598764	0.82778842	0.841878931	0.788689688	0.9215947	0.914248555	0.675552626	0.779023998	0.893449395	0.697408132	0.980758209	0.931935439	0.888363752	0.899922812	0.829528145	1.095347022	1.057893996	1.043799969	1.039090864
tr|A0A096YH64|A0A096YH64_BURTA	Oxygen-dependent coproporphyrinogen-III oxidase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=hemF PE=3 SV=1	1.569798514	3.886520919	1.350008756	3.104317238	0.748724791	1.566994213	1.407328133	0.185599704	0.808245932	0.798644432	2.139342132	0.802612164	0.958172354	0.867456788	0.729078564	0.713001317	0.287608097	0.751144901	0.831985457	0.821931143
tr|A0A096YH87|A0A096YH87_BURTA	UPF0234 protein DR63_2506 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_2506 PE=3 SV=1	0.767680839	0.862927469	0.787708661	0.730843082	0.918062941	0.796126209	0.781189018	1.100684393	1.048209872	0.840917992	0.782552014	0.593627029	0.900707965	0.959106445	0.953788005	0.921735967	1.134435003	0.950299333	1.013747224	0.977483996
tr|A0A096YH97|A0A096YH97_BURTA	Arginine biosynthesis bifunctional protein ArgJ OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=argJ PE=3 SV=1	0.89264188	1.168946861	0.94996561	0.748342066	0.992851931	0.830023753	0.894993157	1.013873511	0.849687216	0.809687538	0.817258352	0.69147965	0.750697581	0.907750708	0.951056517	0.737235778	0.847070534	0.722282272	0.749578127	0.924780998
tr|A0A096YHB3|A0A096YHB3_BURTA	Tetratricopeptide repeat family protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_384 PE=4 SV=1	0.437962005	0.203680829	0.536862033	0.279054739	0.204523688	0.579290935	0.657985178	0.250578468	0.354287209	1.341355257	1.300581031	1.037192002	1.377352741	0.24400175	0.265545884	1.183900708	0.252104687	1.182913502	1.471041555	0.202142727
tr|A0A096YHB9|A0A096YHB9_BURTA	YCII-related domain protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_2216 PE=4 SV=1	1.127007031	0.633965338	1.338486595	0.857710181	0.757848995	0.822498185	0.687732192	0.912724184	0.863161679	0.991150133	1.417292251	0.415527844	0.514306396	1.389571904	1.29356528	0.913541992	0.955770214	0.496759299	0.616079409	1.267801684
tr|A0A096YHC2|A0A096YHC2_BURTA	Thioesterase superfamily protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_3128 PE=4 SV=1	0.861519312	0.844401857	1.417996277	1.246308805	1.381545483	1.37752287	2.054624228	1.045683806	1.367426231	3.207648359	1.640139518	1.725062956	2.190081747	1.263809408	1.716860534	2.143075172	1.488693882	2.64684053	2.093525531	1.436357592
tr|A0A096YHE0|A0A096YHE0_BURTA	Ubiquinol oxidase subunit 2 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=cyoA PE=3 SV=1	2.265293865	0.340762414	1.768803517	0.40631659	0.687911638	1.971503526	1.885045834	0.386111249	1.8443066	4.28521282	4.031936526	2.020769052	1.961838487	0.593240696	0.64340619	1.653047253	0.126241078	0.71696778	0.604668415	0.178870122
tr|A0A096YHE5|A0A096YHE5_BURTA	30S ribosomal protein S15 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=rpsO PE=3 SV=1	1.980198221	1.479138524	1.94781168	1.36308503	0.954655853	1.377833803	1.172679889	1.019830671	0.589780502	0.793240276	0.634416608	0.669141586	0.546783863	0.415766982	0.40868849	0.553054343	0.318599087	0.452323487	0.453949828	0.37146017
tr|A0A096YHE9|A0A096YHE9_BURTA	Succinyl-diaminopimelate desuccinylase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=dapE PE=3 SV=1	1.85621978	1.440545929	1.411462363	0.989190719	0.828547788	1.536828765	1.385354036	0.811185863	0.838398283	1.353471712	0.815943253	0.937662707	0.828440467	0.690695686	0.493309751	0.813995844	0.527113681	0.829002265	0.836544977	0.826900086
tr|A0A096YHF0|A0A096YHF0_BURTA	50S ribosomal protein L28 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=rpmB PE=3 SV=1	1.710683947	1.618839459	1.570503027	1.530525301	1.155008726	1.470060197	1.450546202	1.152532748	0.678307711	0.835381241	0.844215444	0.748478776	0.535967588	0.452753288	0.385880197	0.474948938	0.274329657	0.473179584	0.430139647	0.409075216
tr|A0A096YHH8|A0A096YHH8_BURTA	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=panB PE=3 SV=1	1.444527731	1.305631269	1.631263796	1.108134472	1.096133065	1.680952251	1.261151575	1.541251719	1.362650461	1.982032617	0.808668544	1.346773361	2.207027625	1.915992974	1.709478033	2.108867198	1.675798923	1.781306637	2.127027398	1.777613159
tr|A0A096YHI1|A0A096YHI1_BURTA	Molybdopterin synthase sulfur carrier subunit OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=moaD PE=3 SV=1	0.985798181	0.879394708	1.030737849	0.395278073	0.48046298	1.092406202	0.907455183	0.852231369	1.355107139	1.470779985	1.410930117	0.933253635	1.115028042	1.775406068	1.264553651	1.012399038	1.704277253	1.00283063	1.068654905	1.627055527
tr|A0A096YHI8|A0A096YHI8_BURTA	"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=ribB PE=3 SV=1"	1.175103431	1.072467405	1.234352266	0.875168064	0.951506906	1.353183304	1.225448205	0.786964567	0.968382828	1.26220001	0.941272761	1.182077861	1.218749374	0.926688741	0.894715831	1.145067576	0.851188887	1.162049324	1.1156029	0.896935742
tr|A0A096YHJ5|A0A096YHJ5_BURTA	Uncharacterized protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_2762 PE=3 SV=1	1.180883736	1.155585579	1.281467499	1.135392475	0.94096437	1.268007385	0.884346697	1.091970682	0.799671419	0.719511482	0.94753883	0.588414293	0.662788943	0.836835146	0.874973883	0.627823816	0.761476322	0.629585313	0.677190537	0.77314988
tr|A0A096YHK6|A0A096YHK6_BURTA	30S ribosomal protein S2 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=rpsB PE=3 SV=1	2.441274321	1.122622311	2.282135988	1.317883908	0.797086501	1.591472475	1.385749071	0.90786067	0.561450674	0.842813202	0.773396939	1.093069209	0.640346435	0.387939926	0.387982393	0.612232861	0.318192079	0.559168697	0.538086994	0.306555611
tr|A0A096YHK7|A0A096YHK7_BURTA	50S ribosomal protein L19 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=rplS PE=3 SV=1	1.913191422	2.05686135	1.955895804	1.584321797	1.422521422	1.414271556	1.262626454	1.395946542	0.804622374	0.61710907	0.59802629	0.651957411	0.515361478	0.625845474	0.566540267	0.429415877	0.428375815	0.415342068	0.379623358	0.627980379
tr|A0A096YHM0|A0A096YHM0_BURTA	ATP synthase subunit delta OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=atpH PE=3 SV=1	1.449795723	1.309939958	1.497816256	1.400027639	1.162836624	1.243751794	1.016438674	0.944969537	1.081880228	1.213571789	1.630514684	1.018251419	1.092332519	1.150826831	1.1541251	1.215416027	1.00107665	1.16191082	1.227919185	1.232103898
tr|A0A096YHN0|A0A096YHN0_BURTA	Bifunctional protein FolD OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=folD PE=3 SV=1	0.938824756	1.080197234	0.849486707	1.129008219	0.867616766	0.769420319	0.725294463	0.910742388	0.821285742	0.720760614	0.835547726	0.855160794	0.668033416	0.729036639	0.606069555	0.646986121	0.608799523	0.612281699	0.579689036	0.614880375
tr|A0A096YHP3|A0A096YHP3_BURTA	Aspartate--tRNA(Asp/Asn) ligase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=aspS PE=3 SV=1	1.390760943	1.213247692	1.22244919	1.349322445	1.143311349	0.996978627	0.97506822	1.176604931	0.915238879	0.748281915	0.881841314	1.01625088	0.649095598	0.735529341	0.726706859	0.730518694	0.679692903	0.679248427	0.707446277	0.747993463
tr|A0A096YHP8|A0A096YHP8_BURTA	"Acetohydroxy acid isomeroreductase, catalytic domain protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_2891 PE=3 SV=1"	0.733084479	0.473037003	0.320717986	0.315397209	0.758543311	0	0.416610972	0.678915459	0.647385872	0.487948862	0.468020826	0.49282096	0.654705125	1.094612998	1.247839915	1.380297523	1.749664525	1.908564804	1.382505613	1.954012733
tr|A0A096YHR8|A0A096YHR8_BURTA	Transaldolase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=tal PE=3 SV=1	0.583031336	0.549402707	0.530478613	0.574745748	0.67669792	0.760808308	0.776287069	0.751902142	0.788643889	0.865178969	0.676639414	1.008217152	0.8071919	0.740487089	0.751214157	0.860272307	0.703784224	0.880943309	0.933997556	0.649450721
tr|A0A096YHT5|A0A096YHT5_BURTA	Acetylornithine aminotransferase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=astC PE=3 SV=1	0.629486046	0.450096679	0.680118921	0.424389075	1.364132094	1.395375086	1.791420766	1.687477784	1.186312568	1.355511962	1.208132483	1.231295087	1.236393172	1.217001533	1.232789046	1.336518751	0.869988176	0.979432864	0.97325946	0.97318657
tr|A0A096YHU9|A0A096YHU9_BURTA	Glutamate/aspartate periplasmic-binding protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=gltI PE=4 SV=1	0.493006008	0.560193961	0.497101437	0.444947791	0.850706668	0.618674412	0.801469736	0.850306727	1.461354019	1.229748485	1.321924281	1.237726426	1.626827032	1.89979804	1.921437574	1.678028632	2.389861344	1.968713849	1.945233861	1.93482818
tr|A0A096YHV0|A0A096YHV0_BURTA	Adenine phosphoribosyltransferase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=apt PE=3 SV=1	0.995144789	2.125232378	1.149677473	2.584740954	0.445912625	1.32934219	1.718456168	0.529817464	1.013398924	1.181853098	1.059380045	1.082833967	1.124640487	0.87346892	0.823596262	0.836445285	0.539866886	1.195201267	1.406022663	0.927812619
tr|A0A096YHV2|A0A096YHV2_BURTA	PhoH-like family protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_144 PE=4 SV=1	0.754073559	0.71628163	0.707839052	1.010887543	0.919333188	1.206929208	1.129511333	0.854631768	0.947117067	1.089528072	1.212601439	1.076473553	0.918478269	0.931726435	0.972746565	1.046473372	0.837154272	0.95878955	0.996921075	0.886790628
tr|A0A096YHW1|A0A096YHW1_BURTA	ATP synthase gamma chain OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=atpG PE=3 SV=1	1.202751135	1.831832483	1.142761919	1.902782381	1.340627943	1.004677147	0.919353809	1.234973653	1.292655348	1.144762205	1.245074609	0.991114956	0.814435425	1.196335772	1.198108016	0.85457342	1.116756287	0.806984822	0.81125221	1.11211014
tr|A0A096YHW6|A0A096YHW6_BURTA	GTP cyclohydrolase 1 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=folE PE=3 SV=1	1.19528528	0.608278248	0.996435498	0.654018158	1.002822199	1.438961628	1.247647425	1.111220579	1.0105144	1.602793131	1.023380019	1.361869023	1.486175051	1.036113444	0.98854346	1.220437082	1.063640027	1.645356038	1.560285306	1.057438529
tr|A0A096YHX2|A0A096YHX2_BURTA	Squalene synthase HpnD OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=hpnD PE=4 SV=1	1.490966287	1.392001547	1.281487562	1.278133554	1.180461347	1.650711478	1.705176778	1.110079842	1.045193423	1.104209705	0.731415517	0.837129361	1.00517181	0.766316726	0.888542614	0.788614465	0.579449557	0.725611927	0.995938429	0.665572033
tr|A0A096YHX9|A0A096YHX9_BURTA	LPS-assembly lipoprotein LptE OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=lptE PE=3 SV=1	0.660547962	0	0.677041642	0	0	1.194081756	0.89500723	0	0	1.861113654	0	1.557785995	1.685768567	0	0	1.609075561	0	2.033604892	1.70941759	0
tr|A0A096YHY4|A0A096YHY4_BURTA	Proline iminopeptidase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=pip PE=3 SV=1	0.230184172	0.412552884	0.176438536	0.208071876	0.454525647	0.743303286	0.777944048	0.641468469	1.051985966	1.599158047	0.412640288	1.310563191	1.990419775	1.479908313	1.537850108	1.937265866	1.635712234	2.034933104	2.017439886	1.904041725
tr|A0A096YHY5|A0A096YHY5_BURTA	Phosphoribosyl transferase domain protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_86 PE=4 SV=1	2.53498186	2.002631249	2.292434651	1.564005081	1.387436116	1.970698906	1.813715902	1.318600623	0.896100904	1.378327058	0.740472581	1.561353146	0.747750137	0.846924613	0.681426616	1.159076708	0.482219423	0.740042441	0.649349697	0.778270468
tr|A0A096YHZ7|A0A096YHZ7_BURTA	Uncharacterized protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_1403 PE=4 SV=1	3.198499081	2.331242844	3.089752078	3.091365523	1.798966565	1.522783834	1.545548924	1.834274337	0.835485069	1.05338382	1.145177769	0.887019048	0.458278826	0.385646382	0.312694818	0.43395005	0.073399886	0.350314043	0.266315179	0.240231183
tr|A0A096YI06|A0A096YI06_BURTA	RelA/SpoT family protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_3184 PE=3 SV=1	0.787982045	0.760058153	0.813978584	0.534734811	0.677272367	1.146301612	1.959453105	0.6244028	0.63037189	0.496152044	0.796889516	1.189944053	1.37933782	0.794052435	0.775674426	0.398492696	0.83612954	0.908162327	0.515276848	0.8990077
tr|A0A096YI27|A0A096YI27_BURTA	FHA domain protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_2293 PE=4 SV=1	0.647592834	0.397033124	0.4792758	0.353848169	0.645232865	0.636956315	0.663573139	0.423862107	1.709195978	1.482420636	1.920163372	1.291958962	2.633583528	2.385700919	2.789147009	2.617437687	2.154076495	2.241250732	1.93265703	1.876426249
tr|A0A096YI33|A0A096YI33_BURTA	Succinate--CoA ligase [ADP-forming] subunit beta OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=sucC PE=3 SV=1	1.189430466	1.878587273	1.30870802	1.368681455	1.582379494	1.008368328	1.006031074	1.576284709	1.040022635	0.637664137	0.946370297	0.579863742	0.535941255	0.639158029	0.702510319	0.491099147	0.605538988	0.393441692	0.444467074	0.771716696
tr|A0A096YI35|A0A096YI35_BURTA	Zinc carboxypeptidase family protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_1333 PE=4 SV=1	0.235357962	0.607337705	0.16602576	0.341913123	0.797205837	0.349320869	0.294605765	0.81982364	1.063148335	0.853732899	1.098662011	0.741242501	0.813837047	1.348108482	1.341666254	0.788900581	1.554364624	0.705042277	0.915864249	1.773126944
tr|A0A096YI41|A0A096YI41_BURTA	Maf-like protein DR63_2790 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=maf PE=3 SV=1	0.622609096	1.300000416	0.614978855	1.563870325	0.974042905	0.82860562	0.732777661	1.117512277	0.995472388	0.564708456	1.082829022	1.225947476	0.671404332	0.780496886	0.768086758	0.809084687	0.664957766	0.656194984	0.678966069	0.785275506
tr|A0A096YI49|A0A096YI49_BURTA	CNP1-like family protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_1194 PE=4 SV=1	0.527433169	0.347507054	0.396962465	0.337278911	0.829467548	0.695767051	0.542811142	0.705778343	1.236886371	0.870840835	1.511635744	1.101048861	0.989960429	0.737705625	0.899037331	0.979955513	0.781999147	1.173440261	1.121418878	0.966387488
tr|A0A096YI56|A0A096YI56_BURTA	Periplasmic serine endoprotease DegP-like OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_609 PE=3 SV=1	0.707364149	0.615391135	0.629290833	0.466381445	1.005803532	1.028994808	0.936528484	0.964463186	1.551691047	1.836354247	1.005644775	1.880629144	1.915796281	1.861734941	1.780985327	1.89941823	2.122537154	2.029838842	2.054137228	1.868835672
tr|A0A096YI78|A0A096YI78_BURTA	Ubiquinone biosynthesis O-methyltransferase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=ubiG PE=3 SV=1	0.902685031	1.03133895	0.850738505	0.928937958	1.054507872	1.057834365	0.978685609	0.974170882	1.225854654	1.096017603	0.463154608	1.069933993	1.115525791	1.470164814	1.511520465	1.163018299	1.228435738	0.993476212	1.026390474	1.227056461
tr|A0A096YI79|A0A096YI79_BURTA	UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=murD PE=3 SV=1	1.391249288	0.802421017	1.875906539	1.063009554	0.655740012	2.018741641	2.146890724	0.662006534	0.621535188	1.950543966	0.654898535	1.369915831	1.584414683	0.585965736	0.536698296	1.520686922	0.422156129	1.740036708	1.417028447	0.653859386
tr|A0A096YI91|A0A096YI91_BURTA	Type I restriction modification DNA specificity domain protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_3036 PE=4 SV=1	0.507784736	1.205733395	0.541261457	1.383076514	1.083353753	0.414110255	0.719971653	1.05037794	1.03681491	2.184194241	0.888025139	1.984028525	1.36419994	0.901245568	1.020003413	1.475695887	1.175672821	0.831523749	1.30968741	1.039811137
tr|A0A096YI93|A0A096YI93_BURTA	Protein GrpE OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=grpE PE=3 SV=1	1.297340635	0.988785155	1.099597976	0.966778655	1.425351516	1.174263444	1.472923912	1.430150577	0.991921777	0.907027171	0.920666199	1.411912731	0.649242495	0.779886078	0.781557462	0.512858947	0.630057061	0.535760871	0.611961572	0.78479783
tr|A0A096YI97|A0A096YI97_BURTA	Cysteine--tRNA ligase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=cysS PE=3 SV=1	0.847929594	0.786838512	0.805950724	1.081514681	0.664003759	0.934761977	1.14123493	0.688333713	0.732550969	1.153032636	0.983993019	1.273513776	1.069115456	0.651918927	0.689568079	1.290424716	0.590190024	1.038659514	1.095719445	0.631642238
tr|A0A096YIB0|A0A096YIB0_BURTA	Uncharacterized protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_2330 PE=4 SV=1	0.966644407	0.824121006	0.972424212	0.996802148	0.969700944	1.168121875	1.026552903	1.01499939	0.835680903	0.925022957	1.05760082	0.947894507	0.693311062	0.773421323	0.787043992	0.656993594	0.629299878	0.778019462	0.646533358	0.680824539
tr|A0A096YIB3|A0A096YIB3_BURTA	Radical SAM superfamily protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_1446 PE=4 SV=1	1.469117681	1.328204364	1.76582156	1.626816812	1.410023125	1.319383849	1.292605832	1.435890646	0.923538547	1.180054283	0.942747887	1.095302679	0.413495427	0.388557844	0.382494556	0.208904878	0.231604405	0.14978943	0.23643886	0.45717224
tr|A0A096YIB5|A0A096YIB5_BURTA	50S ribosomal protein L34 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=rpmH PE=3 SV=1	1.214550962	0.621332692	1.013337569	0.927429829	0.196294268	1.325377798	1.030724197	0.194807224	0.301416438	0.585019546	2.178398599	1.356309261	0.614644709	0.219988381	0.151133726	0.710841405	0.166838846	0.638516883	0.580011917	0.509987435
tr|A0A096YIC0|A0A096YIC0_BURTA	"Methyltransferase, FkbM family domain protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_1016 PE=4 SV=1"	0.464583985	0.903330462	0.438928652	0.606790559	0.875060966	0.378661087	0.437907089	1.028330992	1.438069746	1.235992032	1.47919718	1.259291077	1.162455104	1.531258426	1.570975777	0.99808818	1.267263176	1.062827071	1.337812131	1.41845033
